event_id,timestamp,type,container_id,size,weight_class,vessel_id,port_of_discharge,departure_time
18,2025-01-01 07:58:23,TRUCK_RECV,TRK0000153,20,HEAVY,VSL006,PORT_06,2025-01-06 15:34:45
19,2025-01-01 08:01:55,TRUCK_RECV,TRK0001520,20,LIGHT,VSL012,PORT_04,2025-01-04 06:56:35
20,2025-01-01 08:12:42,TRUCK_DLVR,CONT0003128,20,MEDIUM,VSL012,PORT_02,2025-01-22 22:09:54
21,2025-01-01 08:23:14,TRUCK_DLVR,CONT0004613,20,LIGHT,VSL006,PORT_06,2025-01-17 04:45:45
22,2025-01-01 08:23:19,TRUCK_RECV,TRK0001751,20,HEAVY,VSL012,PORT_02,2025-01-04 06:56:35
23,2025-01-01 08:23:44,TRUCK_RECV,TRK0001750,20,LIGHT,VSL005,PORT_01,2025-01-03 10:54:26
24,2025-01-01 08:25:02,TRUCK_RECV,TRK0002325,20,MEDIUM,VSL001,PORT_01,2025-01-05 16:25:49
25,2025-01-01 08:31:06,TRUCK_RECV,TRK0002193,20,MEDIUM,VSL005,PORT_02,2025-01-03 10:54:26
26,2025-01-01 08:31:49,TRUCK_DLVR,CONT0002223,20,HEAVY,VSL006,PORT_06,2025-01-06 15:34:45
27,2025-01-01 08:42:43,TRUCK_RECV,TRK0001899,20,LIGHT,VSL006,PORT_04,2025-01-06 15:34:45
28,2025-01-01 08:50:54,TRUCK_RECV,TRK0001165,20,MEDIUM,VSL006,PORT_11,2025-01-06 15:34:45
29,2025-01-01 08:53:27,TRUCK_DLVR,CONT0004254,20,HEAVY,VSL015,PORT_01,2025-01-25 16:32:29
30,2025-01-01 08:56:15,TRUCK_RECV,TRK0001569,20,LIGHT,VSL007,PORT_01,2025-01-06 23:03:27
31,2025-01-01 09:06:55,TRUCK_RECV,TRK0001649,20,MEDIUM,VSL012,PORT_04,2025-01-04 06:56:35
32,2025-01-01 09:11:30,TRUCK_RECV,TRK0001308,20,LIGHT,VSL012,PORT_04,2025-01-04 06:56:35
33,2025-01-01 09:20:27,TRUCK_RECV,TRK0001083,20,MEDIUM,VSL005,PORT_01,2025-01-03 10:54:26
34,2025-01-01 09:22:53,TRUCK_RECV,TRK0000943,20,LIGHT,VSL005,PORT_02,2025-01-03 10:54:26
35,2025-01-01 09:31:18,TRUCK_DLVR,CONT0000449,20,MEDIUM,VSL003,PORT_02,2025-01-11 21:42:53
36,2025-01-01 09:33:49,TRUCK_DLVR,CONT0003724,20,MEDIUM,VSL013,PORT_02,2025-01-08 04:41:04
37,2025-01-01 09:49:43,TRUCK_DLVR,CONT0002754,20,HEAVY,VSL012,PORT_09,2025-01-04 06:56:35
38,2025-01-01 09:51:43,TRUCK_RECV,TRK0002202,20,MEDIUM,VSL002,PORT_01,2025-01-05 15:50:02
39,2025-01-01 10:00:01,TRUCK_RECV,TRK0000344,20,MEDIUM,VSL006,PORT_04,2025-01-06 15:34:45
40,2025-01-01 10:08:28,TRUCK_RECV,TRK0001662,20,MEDIUM,VSL012,PORT_14,2025-01-04 06:56:35
41,2025-01-01 10:12:57,TRUCK_DLVR,CONT0003869,20,HEAVY,VSL012,PORT_02,2025-01-04 06:56:35
42,2025-01-01 10:21:55,TRUCK_DLVR,CONT0004131,20,MEDIUM,VSL018,PORT_01,2025-01-08 10:16:04
43,2025-01-01 10:30:17,TRUCK_RECV,TRK0001464,20,LIGHT,VSL001,PORT_01,2025-01-05 16:25:49
44,2025-01-01 10:31:16,TRUCK_RECV,TRK0002364,20,MEDIUM,VSL005,PORT_01,2025-01-03 10:54:26
45,2025-01-01 10:31:49,TRUCK_RECV,TRK0000688,20,MEDIUM,VSL012,PORT_02,2025-01-04 06:56:35
46,2025-01-01 10:46:07,TRUCK_RECV,TRK0000853,20,HEAVY,VSL002,PORT_01,2025-01-05 15:50:02
47,2025-01-01 11:06:43,TRUCK_DLVR,CONT0001201,20,MEDIUM,VSL004,PORT_11,2025-01-06 00:20:47
48,2025-01-01 11:17:39,TRUCK_RECV,TRK0002318,20,LIGHT,VSL012,PORT_04,2025-01-04 06:56:35
49,2025-01-01 11:32:52,TRUCK_RECV,TRK0000493,20,MEDIUM,VSL006,PORT_11,2025-01-06 15:34:45
50,2025-01-01 11:37:05,TRUCK_DLVR,CONT0003912,20,HEAVY,VSL003,PORT_02,2025-01-11 21:42:53
51,2025-01-01 11:37:42,TRUCK_DLVR,CONT0003522,20,HEAVY,VSL012,PORT_09,2025-01-22 22:09:54
52,2025-01-01 11:38:16,TRUCK_DLVR,CONT0000877,20,MEDIUM,VSL002,PORT_01,2025-01-20 10:56:09
53,2025-01-01 11:45:33,TRUCK_RECV,TRK0000984,20,HEAVY,VSL006,PORT_04,2025-01-06 15:34:45
54,2025-01-01 11:46:06,TRUCK_RECV,TRK0001209,20,LIGHT,VSL005,PORT_02,2025-01-03 10:54:26
55,2025-01-01 11:51:32,TRUCK_RECV,TRK0000932,20,MEDIUM,VSL007,PORT_01,2025-01-06 23:03:27
56,2025-01-01 11:53:24,TRUCK_RECV,TRK0000661,20,LIGHT,VSL006,PORT_04,2025-01-06 15:34:45
57,2025-01-01 12:09:48,TRUCK_DLVR,CONT0004083,20,MEDIUM,VSL004,PORT_01,2025-01-19 22:26:36
58,2025-01-01 12:12:17,TRUCK_RECV,TRK0001458,20,MEDIUM,VSL012,PORT_02,2025-01-04 06:56:35
59,2025-01-01 12:19:16,TRUCK_DLVR,CONT0002641,20,MEDIUM,VSL003,PORT_04,2025-01-21 12:01:12
60,2025-01-01 12:21:37,TRUCK_RECV,TRK0002231,20,MEDIUM,VSL012,PORT_02,2025-01-04 06:56:35
61,2025-01-01 12:21:55,TRUCK_RECV,TRK0000805,20,LIGHT,VSL003,PORT_01,2025-01-02 20:27:12
62,2025-01-01 12:22:19,TRUCK_RECV,TRK0001039,20,HEAVY,VSL012,PORT_02,2025-01-04 06:56:35
63,2025-01-01 12:22:28,TRUCK_RECV,TRK0000477,20,HEAVY,VSL006,PORT_11,2025-01-06 15:34:45
64,2025-01-01 12:47:27,TRUCK_RECV,TRK0001949,20,LIGHT,VSL012,PORT_09,2025-01-04 06:56:35
65,2025-01-01 12:49:09,TRUCK_RECV,TRK0002044,20,HEAVY,VSL006,PORT_08,2025-01-06 15:34:45
66,2025-01-01 13:28:24,TRUCK_RECV,TRK0000768,20,LIGHT,VSL005,PORT_01,2025-01-03 10:54:26
67,2025-01-01 13:29:09,TRUCK_DLVR,CONT0003847,20,HEAVY,VSL008,PORT_01,2025-01-07 05:39:54
68,2025-01-01 13:33:12,TRUCK_DLVR,CONT0001854,20,LIGHT,VSL003,PORT_01,2025-01-02 20:27:12
69,2025-01-01 13:33:35,TRUCK_RECV,TRK0000927,20,LIGHT,VSL006,PORT_08,2025-01-06 15:34:45
70,2025-01-01 13:39:50,TRUCK_RECV,TRK0001446,20,HEAVY,VSL003,PORT_01,2025-01-02 20:27:12
71,2025-01-01 13:40:37,TRUCK_RECV,TRK0002010,20,HEAVY,VSL006,PORT_04,2025-01-06 15:34:45
72,2025-01-01 13:44:22,TRUCK_RECV,TRK0001692,20,LIGHT,VSL002,PORT_07,2025-01-05 15:50:02
73,2025-01-01 13:52:14,TRUCK_RECV,TRK0001214,20,MEDIUM,VSL006,PORT_08,2025-01-06 15:34:45
74,2025-01-01 13:53:08,TRUCK_RECV,TRK0002097,20,MEDIUM,VSL006,PORT_08,2025-01-06 15:34:45
75,2025-01-01 13:53:20,TRUCK_RECV,TRK0001913,20,HEAVY,VSL003,PORT_11,2025-01-02 20:27:12
76,2025-01-01 13:55:08,TRUCK_RECV,TRK0000523,20,MEDIUM,VSL003,PORT_08,2025-01-02 20:27:12
77,2025-01-01 14:12:22,TRUCK_RECV,TRK0000905,20,HEAVY,VSL002,PORT_01,2025-01-05 15:50:02
78,2025-01-01 14:27:44,TRUCK_RECV,TRK0000189,20,LIGHT,VSL012,PORT_04,2025-01-04 06:56:35
79,2025-01-01 14:30:41,TRUCK_DLVR,CONT0004050,20,HEAVY,VSL003,PORT_02,2025-01-02 20:27:12
80,2025-01-01 14:30:48,TRUCK_RECV,TRK0000935,20,LIGHT,VSL004,PORT_02,2025-01-06 00:20:47
81,2025-01-01 14:37:03,TRUCK_RECV,TRK0000077,20,LIGHT,VSL007,PORT_02,2025-01-06 23:03:27
82,2025-01-01 14:38:28,TRUCK_DLVR,CONT0001356,20,LIGHT,VSL007,PORT_04,2025-01-25 00:31:55
83,2025-01-01 14:39:43,TRUCK_DLVR,CONT0000396,20,HEAVY,VSL001,PORT_04,2025-01-16 13:20:20
84,2025-01-01 14:45:31,TRUCK_RECV,TRK0000463,20,HEAVY,VSL004,PORT_01,2025-01-06 00:20:47
85,2025-01-01 14:46:53,TRUCK_DLVR,CONT0003422,20,MEDIUM,VSL007,PORT_02,2025-01-06 23:03:27
86,2025-01-01 14:49:49,TRUCK_RECV,TRK0000761,20,MEDIUM,VSL007,PORT_02,2025-01-06 23:03:27
87,2025-01-01 14:55:21,TRUCK_RECV,TRK0000626,20,MEDIUM,VSL006,PORT_04,2025-01-06 15:34:45
88,2025-01-01 15:04:25,TRUCK_DLVR,CONT0004564,20,HEAVY,VSL005,PORT_01,2025-01-03 10:54:26
89,2025-01-01 15:38:16,TRUCK_RECV,TRK0001925,20,MEDIUM,VSL002,PORT_07,2025-01-05 15:50:02
90,2025-01-01 15:39:26,TRUCK_RECV,TRK0001839,20,LIGHT,VSL012,PORT_04,2025-01-04 06:56:35
91,2025-01-01 15:41:31,TRUCK_RECV,TRK0001167,20,LIGHT,VSL012,PORT_09,2025-01-04 06:56:35
92,2025-01-01 15:43:22,TRUCK_RECV,TRK0000351,20,MEDIUM,VSL004,PORT_02,2025-01-06 00:20:47
93,2025-01-01 15:44:52,TRUCK_RECV,TRK0001826,20,HEAVY,VSL006,PORT_10,2025-01-06 15:34:45
94,2025-01-01 15:47:07,TRUCK_RECV,TRK0001478,20,LIGHT,VSL001,PORT_04,2025-01-05 16:25:49
95,2025-01-01 15:52:28,TRUCK_RECV,TRK0000777,20,LIGHT,VSL002,PORT_01,2025-01-05 15:50:02
96,2025-01-01 15:57:48,TRUCK_RECV,TRK0000244,20,MEDIUM,VSL002,PORT_07,2025-01-05 15:50:02
97,2025-01-01 16:09:19,TRUCK_RECV,TRK0001278,20,LIGHT,VSL007,PORT_08,2025-01-06 23:03:27
98,2025-01-01 16:11:47,TRUCK_RECV,TRK0000789,20,LIGHT,VSL007,PORT_01,2025-01-06 23:03:27
99,2025-01-01 16:13:29,TRUCK_RECV,TRK0002368,20,MEDIUM,VSL001,PORT_04,2025-01-05 16:25:49
100,2025-01-01 16:16:26,TRUCK_RECV,TRK0001397,20,HEAVY,VSL007,PORT_04,2025-01-06 23:03:27
101,2025-01-01 16:17:54,TRUCK_RECV,TRK0000798,20,MEDIUM,VSL005,PORT_01,2025-01-03 10:54:26
102,2025-01-01 16:21:48,TRUCK_DLVR,CONT0004527,20,LIGHT,VSL019,PORT_02,2025-02-02 17:08:19
103,2025-01-01 16:26:18,TRUCK_RECV,TRK0001210,20,MEDIUM,VSL004,PORT_02,2025-01-06 00:20:47
104,2025-01-01 16:39:55,TRUCK_DLVR,CONT0002845,20,HEAVY,VSL001,PORT_01,2025-01-05 16:25:49
105,2025-01-01 16:45:31,TRUCK_RECV,TRK0000254,20,MEDIUM,VSL004,PORT_07,2025-01-06 00:20:47
106,2025-01-01 16:48:02,TRUCK_RECV,TRK0000491,20,LIGHT,VSL012,PORT_02,2025-01-04 06:56:35
107,2025-01-01 16:48:58,TRUCK_RECV,TRK0001056,20,LIGHT,VSL007,PORT_05,2025-01-06 23:03:27
108,2025-01-01 16:56:21,TRUCK_RECV,TRK0001798,20,LIGHT,VSL001,PORT_01,2025-01-05 16:25:49
109,2025-01-01 16:58:08,TRUCK_RECV,TRK0001874,20,MEDIUM,VSL007,PORT_01,2025-01-06 23:03:27
110,2025-01-01 16:59:18,TRUCK_RECV,TRK0001180,20,HEAVY,VSL001,PORT_03,2025-01-05 16:25:49
111,2025-01-01 17:01:05,TRUCK_RECV,TRK0002375,20,LIGHT,VSL007,PORT_08,2025-01-06 23:03:27
112,2025-01-01 17:01:57,TRUCK_DLVR,CONT0002654,20,MEDIUM,VSL012,PORT_04,2025-01-04 06:56:35
113,2025-01-01 17:21:22,TRUCK_RECV,TRK0001328,20,HEAVY,VSL004,PORT_02,2025-01-06 00:20:47
114,2025-01-01 17:23:10,TRUCK_RECV,TRK0001882,20,LIGHT,VSL005,PORT_06,2025-01-03 10:54:26
115,2025-01-01 17:23:38,TRUCK_RECV,TRK0000836,20,MEDIUM,VSL003,PORT_01,2025-01-02 20:27:12
116,2025-01-01 17:31:31,TRUCK_DLVR,CONT0002378,20,HEAVY,VSL019,PORT_04,2025-01-28 18:05:27
117,2025-01-01 17:36:39,TRUCK_RECV,TRK0000915,20,HEAVY,VSL007,PORT_01,2025-01-06 23:03:27
118,2025-01-01 17:39:40,TRUCK_RECV,TRK0001014,20,MEDIUM,VSL007,PORT_02,2025-01-06 23:03:27
119,2025-01-01 17:41:28,TRUCK_DLVR,CONT0000398,20,LIGHT,VSL005,PORT_03,2025-01-17 23:49:33
120,2025-01-01 17:42:13,TRUCK_RECV,TRK0001977,20,HEAVY,VSL001,PORT_04,2025-01-05 16:25:49
121,2025-01-01 17:42:34,TRUCK_RECV,TRK0002041,20,MEDIUM,VSL005,PORT_03,2025-01-03 10:54:26
122,2025-01-01 17:45:51,TRUCK_RECV,TRK0001010,20,MEDIUM,VSL007,PORT_05,2025-01-06 23:03:27
123,2025-01-01 17:48:14,TRUCK_RECV,TRK0001303,20,LIGHT,VSL005,PORT_03,2025-01-03 10:54:26
124,2025-01-01 17:50:42,TRUCK_RECV,TRK0001055,20,MEDIUM,VSL003,PORT_02,2025-01-02 20:27:12
125,2025-01-01 17:53:15,TRUCK_RECV,TRK0000011,20,MEDIUM,VSL012,PORT_04,2025-01-04 06:56:35
126,2025-01-01 17:58:08,TRUCK_RECV,TRK0000877,20,MEDIUM,VSL003,PORT_02,2025-01-02 20:27:12
127,2025-01-01 18:03:44,TRUCK_RECV,TRK0001819,20,MEDIUM,VSL003,PORT_02,2025-01-02 20:27:12
128,2025-01-01 18:08:44,TRUCK_DLVR,CONT0003280,20,HEAVY,VSL018,PORT_01,2025-01-08 10:16:04
129,2025-01-01 18:13:58,TRUCK_RECV,TRK0001290,20,MEDIUM,VSL007,PORT_04,2025-01-06 23:03:27
130,2025-01-01 18:18:46,TRUCK_RECV,TRK0000290,20,LIGHT,VSL005,PORT_01,2025-01-03 10:54:26
131,2025-01-01 18:25:42,TRUCK_DLVR,CONT0003471,20,HEAVY,VSL015,PORT_01,2025-01-25 16:32:29
132,2025-01-01 18:25:53,TRUCK_RECV,TRK0000208,20,MEDIUM,VSL004,PORT_01,2025-01-06 00:20:47
133,2025-01-01 18:27:03,TRUCK_DLVR,CONT0002659,20,LIGHT,VSL003,PORT_04,2025-01-02 20:27:12
134,2025-01-01 18:28:50,TRUCK_DLVR,CONT0001539,20,MEDIUM,VSL012,PORT_02,2025-01-04 06:56:35
135,2025-01-01 18:35:19,TRUCK_RECV,TRK0001427,20,LIGHT,VSL007,PORT_01,2025-01-06 23:03:27
136,2025-01-01 19:10:25,TRUCK_RECV,TRK0001465,20,HEAVY,VSL001,PORT_03,2025-01-05 16:25:49
137,2025-01-01 19:11:52,DISCHARGE,EVT0000001,20,MEDIUM,VSL003,PORT_11,2025-01-02 20:27:12
138,2025-01-01 19:12:24,TRUCK_RECV,TRK0001193,20,LIGHT,VSL004,PORT_11,2025-01-06 00:20:47
139,2025-01-01 19:13:00,DISCHARGE,EVT0000002,20,HEAVY,VSL001,PORT_01,2025-01-05 16:25:49
140,2025-01-01 19:14:17,DISCHARGE,EVT0000003,20,LIGHT,VSL003,PORT_04,2025-01-02 20:27:12
141,2025-01-01 19:15:39,DISCHARGE,EVT0000004,20,LIGHT,VSL011,PORT_02,2025-01-11 05:41:01
142,2025-01-01 19:17:06,DISCHARGE,EVT0000005,20,HEAVY,VSL003,PORT_08,2025-01-02 20:27:12
143,2025-01-01 19:18:45,DISCHARGE,EVT0000006,20,MEDIUM,VSL003,PORT_02,2025-01-02 20:27:12
144,2025-01-01 19:19:40,TRUCK_DLVR,CONT0004147,20,LIGHT,VSL019,PORT_02,2025-01-29 06:47:35
145,2025-01-01 19:19:56,DISCHARGE,EVT0000007,20,MEDIUM,VSL003,PORT_01,2025-01-02 20:27:12
146,2025-01-01 19:20:47,TRUCK_RECV,TRK0001788,20,MEDIUM,VSL002,PORT_01,2025-01-05 15:50:02
147,2025-01-01 19:21:42,DISCHARGE,EVT0000008,20,HEAVY,VSL003,PORT_04,2025-01-02 20:27:12
148,2025-01-01 19:22:43,DISCHARGE,EVT0000009,20,HEAVY,VSL003,PORT_01,2025-01-02 20:27:12
149,2025-01-01 19:23:46,TRUCK_RECV,TRK0000747,20,HEAVY,VSL001,PORT_01,2025-01-05 16:25:49
150,2025-01-01 19:23:55,DISCHARGE,EVT0000010,20,LIGHT,VSL003,PORT_02,2025-01-02 20:27:12
151,2025-01-01 19:25:19,DISCHARGE,EVT0000011,20,MEDIUM,VSL004,PORT_01,2025-01-06 00:20:47
152,2025-01-01 19:26:14,TRUCK_RECV,TRK0001677,20,MEDIUM,VSL005,PORT_01,2025-01-03 10:54:26
153,2025-01-01 19:26:47,DISCHARGE,EVT0000012,20,HEAVY,VSL003,PORT_09,2025-01-02 20:27:12
154,2025-01-01 19:27:50,DISCHARGE,EVT0000013,20,LIGHT,VSL003,PORT_02,2025-01-02 20:27:12
155,2025-01-01 19:29:21,DISCHARGE,EVT0000014,20,MEDIUM,VSL003,PORT_11,2025-01-02 20:27:12
156,2025-01-01 19:30:50,DISCHARGE,EVT0000015,20,HEAVY,VSL003,PORT_04,2025-01-02 20:27:12
157,2025-01-01 19:32:23,DISCHARGE,EVT0000016,20,LIGHT,VSL003,PORT_04,2025-01-02 20:27:12
158,2025-01-01 19:33:19,DISCHARGE,EVT0000017,20,MEDIUM,VSL003,PORT_02,2025-01-02 20:27:12
159,2025-01-01 19:34:37,DISCHARGE,EVT0000018,20,HEAVY,VSL003,PORT_02,2025-01-02 20:27:12
160,2025-01-01 19:36:31,DISCHARGE,EVT0000019,20,LIGHT,VSL003,PORT_04,2025-01-02 20:27:12
161,2025-01-01 19:37:43,DISCHARGE,EVT0000020,20,LIGHT,VSL003,PORT_02,2025-01-02 20:27:12
162,2025-01-01 19:38:45,DISCHARGE,EVT0000021,20,HEAVY,VSL003,PORT_11,2025-01-02 20:27:12
163,2025-01-01 19:39:42,TRUCK_RECV,TRK0001744,20,HEAVY,VSL003,PORT_11,2025-01-02 20:27:12
164,2025-01-01 19:40:28,DISCHARGE,EVT0000022,20,MEDIUM,VSL003,PORT_09,2025-01-02 20:27:12
165,2025-01-01 19:41:32,DISCHARGE,EVT0000023,20,HEAVY,VSL003,PORT_11,2025-01-02 20:27:12
166,2025-01-01 19:42:47,DISCHARGE,EVT0000024,20,MEDIUM,VSL003,PORT_02,2025-01-02 20:27:12
167,2025-01-01 19:44:27,DISCHARGE,EVT0000025,20,MEDIUM,VSL003,PORT_09,2025-01-02 20:27:12
168,2025-01-01 19:45:56,DISCHARGE,EVT0000026,20,MEDIUM,VSL003,PORT_02,2025-01-02 20:27:12
169,2025-01-01 19:47:12,DISCHARGE,EVT0000027,20,LIGHT,VSL003,PORT_01,2025-01-02 20:27:12
170,2025-01-01 19:48:08,TRUCK_DLVR,CONT0001779,20,HEAVY,VSL020,PORT_05,2025-01-20 23:13:00
171,2025-01-01 19:48:46,DISCHARGE,EVT0000028,20,LIGHT,VSL012,PORT_02,2025-01-04 06:56:35
172,2025-01-01 19:49:54,DISCHARGE,EVT0000029,20,MEDIUM,VSL003,PORT_11,2025-01-02 20:27:12
173,2025-01-01 19:51:27,DISCHARGE,EVT0000030,20,MEDIUM,VSL003,PORT_04,2025-01-02 20:27:12
174,2025-01-01 19:52:11,TRUCK_RECV,TRK0001070,20,HEAVY,VSL007,PORT_02,2025-01-06 23:03:27
175,2025-01-01 19:52:30,DISCHARGE,EVT0000031,20,HEAVY,VSL003,PORT_11,2025-01-02 20:27:12
176,2025-01-01 19:53:41,DISCHARGE,EVT0000032,20,HEAVY,VSL003,PORT_08,2025-01-02 20:27:12
177,2025-01-01 19:55:19,DISCHARGE,EVT0000033,20,LIGHT,VSL003,PORT_08,2025-01-02 20:27:12
178,2025-01-01 19:57:03,DISCHARGE,EVT0000034,20,HEAVY,VSL003,PORT_08,2025-01-02 20:27:12
179,2025-01-01 19:57:55,DISCHARGE,EVT0000035,20,LIGHT,VSL003,PORT_09,2025-01-02 20:27:12
180,2025-01-01 19:59:19,DISCHARGE,EVT0000036,20,MEDIUM,VSL003,PORT_01,2025-01-02 20:27:12
181,2025-01-01 20:00:37,DISCHARGE,EVT0000037,20,MEDIUM,VSL003,PORT_04,2025-01-02 20:27:12
182,2025-01-01 20:02:05,DISCHARGE,EVT0000038,20,MEDIUM,VSL003,PORT_11,2025-01-02 20:27:12
183,2025-01-01 20:03:20,DISCHARGE,EVT0000039,20,MEDIUM,VSL003,PORT_04,2025-01-02 20:27:12
184,2025-01-01 20:04:31,TRUCK_RECV,TRK0000294,20,MEDIUM,VSL001,PORT_04,2025-01-05 16:25:49
185,2025-01-01 20:05:05,DISCHARGE,EVT0000040,20,MEDIUM,VSL003,PORT_08,2025-01-02 20:27:12
186,2025-01-01 20:06:29,DISCHARGE,EVT0000041,20,MEDIUM,VSL003,PORT_04,2025-01-02 20:27:12
187,2025-01-01 20:07:39,DISCHARGE,EVT0000042,20,MEDIUM,VSL003,PORT_11,2025-01-02 20:27:12
188,2025-01-01 20:08:46,DISCHARGE,EVT0000043,20,HEAVY,VSL003,PORT_09,2025-01-02 20:27:12
189,2025-01-01 20:10:18,DISCHARGE,EVT0000044,20,HEAVY,VSL003,PORT_11,2025-01-02 20:27:12
190,2025-01-01 20:11:29,DISCHARGE,EVT0000045,20,MEDIUM,VSL003,PORT_02,2025-01-02 20:27:12
191,2025-01-01 20:12:05,TRUCK_RECV,TRK0002138,20,MEDIUM,VSL001,PORT_01,2025-01-05 16:25:49
192,2025-01-01 20:13:19,DISCHARGE,EVT0000046,20,MEDIUM,VSL003,PORT_09,2025-01-02 20:27:12
193,2025-01-01 20:14:41,DISCHARGE,EVT0000047,20,LIGHT,VSL003,PORT_04,2025-01-02 20:27:12
194,2025-01-01 20:15:39,DISCHARGE,EVT0000048,20,LIGHT,VSL003,PORT_11,2025-01-02 20:27:12
195,2025-01-01 20:16:56,DISCHARGE,EVT0000049,20,LIGHT,VSL003,PORT_04,2025-01-02 20:27:12
196,2025-01-01 20:18:24,DISCHARGE,EVT0000050,20,HEAVY,VSL003,PORT_04,2025-01-02 20:27:12
197,2025-01-01 20:20:10,DISCHARGE,EVT0000051,20,MEDIUM,VSL003,PORT_01,2025-01-02 20:27:12
198,2025-01-01 20:20:56,DISCHARGE,EVT0000052,20,LIGHT,VSL003,PORT_02,2025-01-02 20:27:12
199,2025-01-01 20:21:12,TRUCK_RECV,TRK0000696,20,LIGHT,VSL001,PORT_03,2025-01-05 16:25:49
200,2025-01-01 20:22:51,DISCHARGE,EVT0000053,20,MEDIUM,VSL003,PORT_04,2025-01-02 20:27:12
201,2025-01-01 20:23:38,DISCHARGE,EVT0000054,20,LIGHT,VSL003,PORT_02,2025-01-02 20:27:12
202,2025-01-01 20:23:54,TRUCK_RECV,TRK0001134,20,LIGHT,VSL002,PORT_13,2025-01-05 15:50:02
203,2025-01-01 20:24:11,TRUCK_RECV,TRK0000574,20,LIGHT,VSL005,PORT_01,2025-01-03 10:54:26
204,2025-01-01 20:25:01,DISCHARGE,EVT0000055,20,HEAVY,VSL003,PORT_01,2025-01-02 20:27:12
205,2025-01-01 20:26:19,DISCHARGE,EVT0000056,20,MEDIUM,VSL003,PORT_04,2025-01-02 20:27:12
206,2025-01-01 20:28:17,DISCHARGE,EVT0000057,20,MEDIUM,VSL003,PORT_02,2025-01-02 20:27:12
207,2025-01-01 20:29:09,DISCHARGE,EVT0000058,20,MEDIUM,VSL003,PORT_02,2025-01-02 20:27:12
208,2025-01-01 20:30:26,DISCHARGE,EVT0000059,20,LIGHT,VSL003,PORT_04,2025-01-02 20:27:12
209,2025-01-01 20:31:59,DISCHARGE,EVT0000060,20,MEDIUM,VSL008,PORT_01,2025-01-07 05:39:54
210,2025-01-01 20:33:32,DISCHARGE,EVT0000061,20,LIGHT,VSL003,PORT_01,2025-01-02 20:27:12
211,2025-01-01 20:33:52,TRUCK_RECV,TRK0000035,20,MEDIUM,VSL001,PORT_04,2025-01-05 16:25:49
212,2025-01-01 20:34:49,DISCHARGE,EVT0000062,20,LIGHT,VSL003,PORT_04,2025-01-02 20:27:12
213,2025-01-01 20:35:55,DISCHARGE,EVT0000063,20,MEDIUM,VSL003,PORT_08,2025-01-02 20:27:12
214,2025-01-01 20:37:13,DISCHARGE,EVT0000064,20,MEDIUM,VSL006,PORT_11,2025-01-06 15:34:45
215,2025-01-01 20:38:15,TRUCK_RECV,TRK0001488,20,MEDIUM,VSL007,PORT_01,2025-01-06 23:03:27
216,2025-01-01 20:38:34,DISCHARGE,EVT0000065,20,MEDIUM,VSL002,PORT_01,2025-01-05 15:50:02
217,2025-01-01 20:39:57,DISCHARGE,EVT0000066,20,HEAVY,VSL003,PORT_01,2025-01-02 20:27:12
